filename,gt_person,gt_stroller,gt_luggage,gt_box,gt_is_full
ChatGPT Image 8 May 2026 20_43_27.png,5,0,0,0,
ChatGPT Image 8 May 2026 20_45_05.png,5,0,0,0,
ChatGPT Image 8 May 2026 20_46_24.png,4,1,0,0,
ChatGPT Image 8 May 2026 20_48_32.png,3,0,3,0,
ChatGPT Image 8 May 2026 20_49_36.png,5,1,3,0,
ChatGPT Image 8 May 2026 21_31_09.png,5,0,2,0,
ChatGPT Image 8 May 2026 21_35_56.png,5,1,2,0,
Ekran görüntüsü 2026-05-08 133244.png,5,0,0,0,
Ekran görüntüsü 2026-05-08 212029.png,5,1,3,0,
Gemini_Generated_Image_1soeth1soeth1soe.png,3,0,0,0,
Gemini_Generated_Image_3b7eda3b7eda3b7e.png,6,2,3,0,
Gemini_Generated_Image_67eq2367eq2367eq.png,6,1,2,0,
Gemini_Generated_Image_fxr0xafxr0xafxr0.png,8,0,0,0,
Gemini_Generated_Image_grpn7igrpn7igrpn.png,5,1,2,0,
Gemini_Generated_Image_ikfgexikfgexikfg.png,6,0,0,0,
Gemini_Generated_Image_iy3coniy3coniy3c.png,7,1,2,0,
Gemini_Generated_Image_iy3coniy3coniy3c2.png,7,1,2,0,
Gemini_Generated_Image_kvfbmwkvfbmwkvfb.png,6,1,4,0,
Gemini_Generated_Image_n8ni20n8ni20n8ni.png,5,1,3,0,
Gemini_Generated_Image_nrtk8anrtk8anrtk.png,6,0,0,0,
Gemini_Generated_Image_nrtk8anrtk8anrtk2.png,6,0,0,0,
Gemini_Generated_Image_on0ngwon0ngwon0n.png,5,0,0,0,
Gemini_Generated_Image_sdgsd.png,6,3,2,0,
Gemini_Generated_Image_tu8fl9tu8fl9tu8f.png,5,2,4,0,
Gemini_Generated_Image_tv0o3rtv0o3rtv0o.png,8,1,1,0,
Gemini_Generated_Image_tv0o3rtv0o3rtv0o2.png,8,1,1,0,
Gemini_Generated_Image_uxq2rsuxq2rsuxq2.png,6,1,2,0,
Gemini_Generated_Image_wysrydwysrydwysr.png,6,1,1,0,
Gemini_Generated_Image_wysrydwysrydwysr2.png,5,1,1,0,
